year,policy,NumIterations,year,EVFleetP17,EVFleetP50,EVFleetP83,EVShareP17,EVShareP50,EVShareP83,RelPriceEVCarP17,RelPriceEVCarP50,RelPriceEVCarP83,RelPriceEVTruckP17,RelPriceEVTruckP50,RelPriceEVTruckP83,EVShareCarP17,EVShareCarP50,EVShareCarP83,EVShareTruckP17,EVShareTruckP50,EVShareTruckP83,L2P17,L2P50,L2P83,L3P17,L3P50,L3P83,L2RatioP17,L2RatioP50,L2RatioP83
2022,"IIJA_Only",2000,2022,3028415,3028415,3028415,.0733525,.0735034,.0737315,1.01894,1.044125,1.071844,1.073477,1.11175,1.155583,.0997865,.1001584,.1007234,.0577947,.0579854,.0581569,45000,45000,45000,6750,6750,6750,.0148593,.0148593,.0148593
2023,"IIJA_Only",2000,2023,4017387,4163286,4352427,.0770114,.0870235,.1000031,1.0095,1.032731,1.05874,1.061478,1.0968,1.1384,.1055566,.1189745,.1362391,.0611627,.0692597,.0799607,65222.36,67561.36,70391.67,7164.53,7241.005,7317.433,.0160751,.0162166,.0163577
2024,"IIJA_Only",2000,2024,5072217,5407336,5880395,.0801132,.0949778,.1173593,.9761695,.9965709,1.017994,1.033176,1.064202,1.099617,.1102114,.1299966,.1595692,.0636718,.0757392,.0943411,86958.18,92159.41,99098.84,11325.31,11813.83,12427.55,.0167321,.0169971,.0172827
2025,"IIJA_Only",2000,2025,6470284,7145435,8192566,.1027506,.1292401,.1699421,.9431151,.961019,.9794474,1.005111,1.032623,1.062381,.142386,.177234,.2305583,.0827612,.1048011,.1389239,113999.5,124669.8,139979.1,13951.51,14834.17,16106.24,.0169909,.0173998,.0177787
2026,"IIJA_Only",2000,2026,8076429,9263197,1.12e+07,.1214822,.1591223,.2175247,.9137322,.9289774,.9449115,.9797295,1.003401,1.02903,.1686866,.2174116,.2912381,.0981643,.1298736,.1805646,150892.4,168355.2,195628.4,17498.62,18896.48,21009.81,.0175232,.0181553,.0187857
2027,"IIJA_Only",2000,2027,9851004,1.17e+07,1.45e+07,.1371752,.18558,.2599642,.9195457,.9361304,.9537289,.9823003,1.00787,1.035729,.1884672,.2510418,.3425005,.1118286,.1536985,.2191114,194759.7,222955.7,264479.2,22115.34,24205.51,27234.31,.0180673,.0189434,.0198544
2028,"IIJA_Only",2000,2028,1.19e+07,1.46e+07,1.87e+07,.1631027,.2243844,.3250602,.8946571,.9102512,.9263847,.9561958,.979449,1.006326,.2225563,.3004395,.4195831,.1341912,.1878895,.2804427,226270.5,266627.3,326549.8,24787.56,27568.21,31551.36,.0173895,.0181784,.0190223
2029,"IIJA_Only",2000,2029,1.43e+07,1.79e+07,2.33e+07,.1786245,.2546102,.3694731,.8754283,.8899627,.9055114,.9341589,.957419,.9833095,.2428408,.3358098,.4683816,.1482703,.2148697,.3226069,252172.3,306018.7,388059.1,26171.77,29633.72,34766.2,.016543,.017114,.0177498
2030,"IIJA_Only",2000,2030,1.66e+07,2.13e+07,2.82e+07,.1909655,.2764423,.4072168,.8589786,.8730298,.8882304,.9160374,.9380935,.9637257,.2580236,.3623645,.5076578,.1585002,.2349775,.3582792,271616.9,340768.1,443946.2,26251.71,30587.12,36768.81,.0157047,.0160043,.0163573
2031,"IIJA_Only",2000,2031,1.90e+07,2.48e+07,3.37e+07,.1989397,.2943971,.4474602,.843832,.8577223,.8726739,.8992009,.9210258,.9456837,.268221,.3831652,.5505067,.1659569,.2517545,.397376,297115.4,383246.9,516630.5,27215.2,32443.22,39912.09,.015295,.0154694,.0156674
2032,"IIJA_Only",2000,2032,2.15e+07,2.85e+07,3.94e+07,.2105523,.3167303,.4955184,.8295237,.8433105,.8582557,.8835641,.9053975,.9289567,.2822146,.4088462,.5974227,.176016,.2726811,.4458216,324304.2,429074.9,591428.9,28379.74,34480.59,43410.67,.0149978,.0150555,.0151268
2033,"IIJA_Only",2000,2033,2.39e+07,3.24e+07,4.56e+07,.222176,.3438833,.5356209,.8163288,.8299711,.8446269,.8692417,.8906796,.9138904,.2968767,.4381176,.6369579,.1868786,.2981529,.4858628,354832.8,481859.7,678280.8,30045.52,37120.95,47499.91,.0148593,.0148593,.0148593
2034,"IIJA_Only",2000,2034,2.64e+07,3.66e+07,5.24e+07,.2380881,.3747222,.585137,.8037837,.8173174,.8316393,.855801,.8765931,.8994177,.3153914,.4711742,.6808227,.2011687,.3276288,.538371,392723.4,543572.1,779028.8,32514.82,40722.11,52682.18,.0148593,.0148593,.0148593
2035,"IIJA_Only",2000,2035,2.94e+07,4.10e+07,5.93e+07,.2596381,.4076627,.6285073,.7921718,.8053719,.8191805,.8434488,.8632242,.8861567,.3416274,.5075228,.7217869,.2207977,.3588157,.5842257,436425,609942.3,881213,35220.04,44482.48,57887.63,.0148593,.0148593,.0148593
2036,"IIJA_Only",2000,2036,3.25e+07,4.61e+07,6.64e+07,.2780741,.4414974,.6726423,.7807425,.792694,.8058782,.8294309,.848411,.869532,.3632055,.5432677,.7590488,.2375054,.392978,.6310902,482301.6,685609.6,986221.8,37970.3,48479.29,63467.04,.0148593,.0148593,.0148593
2037,"IIJA_Only",2000,2037,3.56e+07,5.11e+07,7.44e+07,.297271,.4760814,.7174481,.7720232,.782176,.7938114,.8197916,.836094,.8540952,.3846331,.5782465,.7947695,.2567498,.4275793,.679939,529061.7,758634,1105123,40823.62,52491.29,68889.68,.0148593,.0148593,.0148593
2038,"IIJA_Only",2000,2038,3.93e+07,5.66e+07,8.27e+07,.3183246,.5109031,.7510389,.7646911,.7737293,.7838854,.8125695,.8264947,.842315,.4082462,.6103116,.8222575,.2750181,.4634902,.7164319,583823,841774.7,1228265,43783.36,56646.75,74539.21,.0148593,.0148593,.0148593
2039,"IIJA_Only",2000,2039,4.31e+07,6.26e+07,9.08e+07,.3359232,.5399103,.7747188,.7583988,.766755,.7759742,.8067971,.8195412,.8346,.4282351,.6389179,.8420684,.2920009,.4933728,.7430668,640120.4,930880.3,1349096,46942.83,60975.37,80234.19,.0148593,.0148593,.0148593
