year,policy,NumIterations,year,EVFleetP17,EVFleetP50,EVFleetP83,EVShareP17,EVShareP50,EVShareP83,RelPriceEVCarP17,RelPriceEVCarP50,RelPriceEVCarP83,RelPriceEVTruckP17,RelPriceEVTruckP50,RelPriceEVTruckP83,EVShareCarP17,EVShareCarP50,EVShareCarP83,EVShareTruckP17,EVShareTruckP50,EVShareTruckP83,L2P17,L2P50,L2P83,L3P17,L3P50,L3P83,L2RatioP17,L2RatioP50,L2RatioP83
2022,"IIJA_RA",2000,2022,3028415,3028415,3028415,.0733525,.0735034,.0737315,1.01894,1.044125,1.071844,1.073477,1.11175,1.155583,.0997865,.1001584,.1007234,.0577947,.0579854,.0581569,45000,45000,45000,6750,6750,6750,.0148593,.0148593,.0148593
2023,"IIJA_RA",2000,2023,4398904,4639045,4966743,.1031926,.119672,.14216,.8391529,.8551723,.8734106,.9123563,.937367,.9670845,.1441037,.1669618,.1976991,.0804292,.093679,.1116389,70960.74,74535.91,79405.45,7164.53,7241.005,7317.433,.0159356,.0160726,.0162121
2024,"IIJA_RA",2000,2024,5865568,6438359,7232585,.1088305,.1327758,.1693388,.8009468,.8152559,.830106,.8685873,.8897707,.9131784,.1506717,.183213,.2309846,.0859617,.1051148,.1354536,98804.33,107394.1,119100.3,12332.91,13079.38,14057.06,.0163891,.0166528,.0169282
2025,"IIJA_RA",2000,2025,7884464,9052446,1.07e+07,.1465287,.188683,.2572231,.756858,.771259,.7860227,.8308688,.8503138,.8694665,.2032706,.2591721,.3460136,.117383,.1527709,.2114469,135061.5,152683.7,177910.9,15619.73,16952.38,18889.31,.0164937,.0168627,.0172384
2026,"IIJA_RA",2000,2026,1.02e+07,1.22e+07,1.52e+07,.172572,.2324225,.3218857,.725844,.7398028,.7537015,.8040579,.8216246,.8393143,.2392178,.3170518,.4253183,.1394609,.1902245,.2705847,183223.9,212403.2,256502.6,19887.89,21958.99,24926.26,.0168223,.0173573,.0179411
2027,"IIJA_RA",2000,2027,1.29e+07,1.59e+07,2.01e+07,.1965811,.2694723,.379613,.7257114,.7394794,.7557752,.8019807,.8197598,.8400046,.2705712,.362267,.4897209,.1599759,.2238271,.3252571,239249.4,285053.4,348016.9,25151.93,28169.07,32359.84,.0171685,.0178961,.0187058
2028,"IIJA_RA",2000,2028,1.59e+07,2.01e+07,2.60e+07,.2309116,.3228171,.4571041,.7006629,.7145641,.7283695,.7755882,.7925443,.8115887,.3141294,.426003,.5730457,.1904893,.2733889,.4019876,284566,348027.9,434600.6,28603.49,32365.23,37833.16,.0166687,.017276,.0179713
2029,"IIJA_RA",2000,2029,1.93e+07,2.47e+07,3.26e+07,.2548236,.3628778,.5094779,.6824204,.6944499,.7083721,.7545857,.7711042,.7897437,.3433267,.4702526,.6246497,.2115837,.3110577,.4548945,325414.2,408146.6,525181.8,30517.91,35332.46,42176.8,.0160718,.0164911,.0169959
2030,"IIJA_RA",2000,2030,2.25e+07,2.95e+07,3.93e+07,.26513,.3834064,.5466312,.6753667,.6878476,.7010333,.7507493,.7665762,.7845015,.357708,.494143,.6585961,.2202284,.3293222,.4924167,359611,463425.3,607028.5,31413.51,37047.72,45062.8,.0154726,.0156829,.015959
2031,"IIJA_RA",2000,2031,2.58e+07,3.44e+07,4.60e+07,.2745643,.4055864,.5826172,.6703702,.6832604,.6963109,.7472042,.7646685,.782989,.370945,.5196164,.6945308,.2287901,.350549,.5290733,399279.9,526181.3,698877.9,33015.48,39571.77,49061.04,.0151814,.0153004,.0154543
2032,"IIJA_RA",2000,2032,2.92e+07,3.93e+07,5.29e+07,.2857063,.4246895,.6233332,.6647694,.677209,.6905554,.7441981,.7614976,.7794802,.3846634,.5406955,.7311421,.2369447,.3680293,.5699019,439472.6,589490.4,791677.8,34583.98,42395.52,52882.44,.0149628,.0150019,.0150555
2033,"IIJA_RA",2000,2033,3.15e+07,4.29e+07,5.89e+07,.2359919,.3632211,.5555361,.8163288,.8299711,.8446269,.8692417,.8906796,.9138904,.3134125,.4600343,.6555218,.1986701,.3165024,.5077603,467420.4,637628.5,875345.8,36065.55,44652.52,56436.56,.0148593,.0148593,.0148593
2034,"IIJA_RA",2000,2034,3.39e+07,4.69e+07,6.54e+07,.251129,.3940423,.603074,.8037837,.8173174,.8316393,.855801,.8765931,.8994177,.3318039,.4916916,.6969951,.2126401,.3463481,.5561126,503828.6,697062.4,972063.9,38354.12,47980.41,61106.69,.0148593,.0148593,.0148593
2035,"IIJA_RA",2000,2035,3.65e+07,5.13e+07,7.20e+07,.2704854,.4236567,.6453022,.7921718,.8053719,.8191805,.8434488,.8632242,.8861567,.3542458,.5253938,.7349778,.2309982,.375913,.6017936,542710.2,761685.4,1070509,40824.94,51527.47,65875.28,.0148593,.0148593,.0148593
