year,policy,NumIterations,year,EVFleetP17,EVFleetP50,EVFleetP83,EVShareP17,EVShareP50,EVShareP83,RelPriceEVCarP17,RelPriceEVCarP50,RelPriceEVCarP83,RelPriceEVTruckP17,RelPriceEVTruckP50,RelPriceEVTruckP83,EVShareCarP17,EVShareCarP50,EVShareCarP83,EVShareTruckP17,EVShareTruckP50,EVShareTruckP83,L2P17,L2P50,L2P83,L3P17,L3P50,L3P83,L2RatioP17,L2RatioP50,L2RatioP83
2022,"IIJA_RA_EPA_New_Stds",2000,2022,3028415,3028415,3028415,.0733525,.0735034,.0737315,1.01894,1.044125,1.071844,1.073477,1.11175,1.155583,.0997865,.1001584,.1007234,.0577947,.0579854,.0581569,45000,45000,45000,6750,6750,6750,.0148593,.0148593,.0148593
2023,"IIJA_RA_EPA_New_Stds",2000,2023,4374290,4666555,5076863,.1015035,.1215599,.1497168,.8391529,.8551723,.8734106,.9123563,.937367,.9670845,.1415632,.1695533,.2068518,.0793053,.0950707,.1178067,70649.41,74971.77,81079.95,7164.53,7241.005,7317.433,.0159224,.0160638,.0162148
2024,"IIJA_RA_EPA_New_Stds",2000,2024,5842408,6535141,7533012,.1079769,.1370516,.183191,.8009468,.8152559,.830106,.8685873,.8897707,.9131784,.1498804,.1883901,.2481998,.0850743,.1087604,.1475467,98541.68,108748.9,123589.4,12307.53,13192.64,14399.83,.0163345,.0166241,.0169333
2025,"IIJA_RA_EPA_New_Stds",2000,2025,7863954,9270296,1.14e+07,.1467055,.1970521,.2860715,.756858,.771259,.7860227,.8308688,.8503138,.8694665,.2034036,.2691982,.379982,.1175272,.1603481,.2381553,135081.8,155997.9,187985,15619.81,17177.61,19612.32,.0164051,.0168235,.01723
2026,"IIJA_RA_EPA_New_Stds",2000,2026,1.03e+07,1.27e+07,1.65e+07,.1745291,.2463852,.3606817,.725844,.7398028,.7537015,.8040579,.8216246,.8393143,.2420891,.3343281,.4694254,.1410904,.2029967,.3072059,184055.5,218706.1,275698.1,19913.65,22408.11,26100.49,.0166869,.0172552,.0179224
2027,"IIJA_RA_EPA_New_Stds",2000,2027,1.34e+07,1.73e+07,2.29e+07,.2297308,.3320163,.4844304,.6597376,.672254,.6870683,.7290733,.7452362,.7636405,.3121631,.434584,.597343,.1892538,.281523,.4288328,246258.1,305244.1,388258,25641.57,29379.04,34639.29,.0168995,.0176645,.0185286
2028,"IIJA_RA_EPA_New_Stds",2000,2028,1.75e+07,2.33e+07,3.12e+07,.3027513,.4412423,.6241347,.5838858,.5954701,.6069746,.6463235,.6604536,.6763239,.3984591,.5537869,.7292267,.2548035,.3866897,.5741771,307965.6,395232.2,510580.8,30087.56,34917.38,41813.74,.0163798,.016944,.0176808
2029,"IIJA_RA_EPA_New_Stds",2000,2029,2.25e+07,3.03e+07,4.06e+07,.3669297,.5321428,.7222033,.5249388,.5341922,.5449016,.5804505,.5931571,.6074952,.4735718,.645041,.8086404,.3163998,.4787447,.6801808,374445.1,490725.3,643814.5,33320.26,39610.79,47902.43,.0158406,.0161957,.0166743
2030,"IIJA_RA_EPA_New_Stds",2000,2030,2.77e+07,3.77e+07,5.03e+07,.39782,.5803074,.7725762,.5002716,.5095168,.519284,.5561106,.5678342,.5811122,.5086093,.690335,.8484582,.3451502,.5281015,.7361138,435549.2,585380.1,773013.8,35567.67,43161.63,52629.77,.015337,.015505,.0157562
2031,"IIJA_RA_EPA_New_Stds",2000,2031,3.31e+07,4.57e+07,6.04e+07,.434151,.6306939,.8187018,.4788359,.4880432,.497365,.5337173,.5461918,.5592779,.5472715,.73584,.8833545,.3801331,.5798329,.7883163,507118.5,694094.3,911836.3,38809.91,47538.92,58374.22,.0151068,.0151902,.0153232
2032,"IIJA_RA_EPA_New_Stds",2000,2032,3.86e+07,5.37e+07,7.00e+07,.4518373,.6604729,.8473256,.4748352,.4837207,.4932539,.5315701,.5439268,.5567716,.566425,.7619691,.9035807,.3962431,.6111531,.8196716,578360.4,803160.9,1043918,41725.32,51866.97,63631.26,.0149383,.0149642,.0150066
2033,"IIJA_RA_EPA_New_Stds",2000,2033,4.30e+07,6.04e+07,7.88e+07,.4523227,.6635232,.8499002,.587693,.6076869,.8350317,.6301207,.8562028,.9026791,.5665581,.7634274,.9050414,.3978325,.6169519,.8238941,639009.4,897212.1,1171636,44309.51,55886.48,68874.53,.0148593,.0148593,.0148593
2034,"IIJA_RA_EPA_New_Stds",2000,2034,4.74e+07,6.72e+07,8.78e+07,.4628639,.6812987,.8638808,.5795818,.7919768,.8242241,.6209844,.8487077,.889823,.5722879,.7736226,.9115849,.4088246,.6370494,.8420379,703899.9,997914.5,1305257,48003.23,60898.57,74813.14,.0148593,.0148593,.0148593
2035,"IIJA_RA_EPA_New_Stds",2000,2035,5.18e+07,7.44e+07,9.69e+07,.4823402,.7009957,.8828025,.5718577,.7890892,.8135541,.6129246,.8421695,.8778872,.5894173,.7885155,.9238166,.4302348,.6593004,.864351,770292.7,1106167,1440138,51735.5,65940.83,80775.49,.0148593,.0148593,.0148593
