year,policy,NumIterations,year,EVFleetP17,EVFleetP50,EVFleetP83,EVShareP17,EVShareP50,EVShareP83,RelPriceEVCarP17,RelPriceEVCarP50,RelPriceEVCarP83,RelPriceEVTruckP17,RelPriceEVTruckP50,RelPriceEVTruckP83,EVShareCarP17,EVShareCarP50,EVShareCarP83,EVShareTruckP17,EVShareTruckP50,EVShareTruckP83,L2P17,L2P50,L2P83,L3P17,L3P50,L3P83,L2RatioP17,L2RatioP50,L2RatioP83
2022,"NoPolicy",2000,2022,3028415,3028415,3028415,.0733525,.0735034,.0737315,1.01894,1.044125,1.071844,1.073477,1.11175,1.155583,.0997865,.1001584,.1007234,.0577947,.0579854,.0581569,45000,45000,45000,6750,6750,6750,.0148593,.0148593,.0148593
2023,"NoPolicy",2000,2023,4058411,4207689,4409006,.0798266,.0900707,.1038858,.9879438,1.010041,1.034825,1.043902,1.077954,1.118101,.1096146,.123656,.142292,.0632567,.0715945,.0829654,60381.12,62636.48,65762.48,8199.727,8420.843,8694.949,.0148593,.0148593,.0148593
2024,"NoPolicy",2000,2024,5151982,5508421,6016545,.0829906,.098629,.1231144,.9672863,.9872297,1.008209,1.025806,1.056381,1.091265,.1142635,.1349698,.1672963,.0658359,.0787511,.0989182,76613.82,81903.72,89601.85,9842.814,10323.75,10983.25,.0148593,.0148593,.0148593
2025,"NoPolicy",2000,2025,6368285,7051033,8109590,.0932202,.1171234,.1552959,.9431151,.961019,.9794474,1.005111,1.032623,1.062381,.1293814,.1611619,.2110623,.0746937,.0947833,.1267069,94734.14,104788.2,120502.5,11484.37,12291.42,13620.26,.0148593,.0148593,.0148593
2026,"NoPolicy",2000,2026,7779265,8896682,1.07e+07,.1061703,.1401659,.1943582,.9137322,.9289774,.9449115,.9797295,1.003401,1.02903,.1476797,.1933042,.2627457,.085385,.1136965,.1601316,115738,132198.1,159523.2,13235.11,14559.26,16608.15,.0148593,.0148593,.0148593
2027,"NoPolicy",2000,2027,9242674,1.09e+07,1.36e+07,.1154122,.1582917,.225258,.9195457,.9361304,.9537289,.9823003,1.00787,1.035729,.1599654,.2161305,.3001315,.0932579,.1296676,.1880636,137341.5,162295.8,202333.4,14997.49,16862.87,19782.34,.0148593,.0148593,.0148593
2028,"NoPolicy",2000,2028,1.09e+07,1.33e+07,1.72e+07,.1297769,.1832048,.2759452,.8946571,.9102512,.9263847,.9561958,.979449,1.006326,.179365,.2489289,.3629681,.1059454,.1517187,.2344096,161371.5,196958,254879.9,16869.23,19383.08,23352.22,.0148593,.0148593,.0148593
2029,"NoPolicy",2000,2029,1.27e+07,1.59e+07,2.12e+07,.1463112,.2128887,.323068,.8754283,.8899627,.9055114,.9341589,.957419,.9833095,.2011536,.2854477,.4171524,.119728,.1782414,.2778234,188412.3,236739.7,315347.8,18932.15,22100.74,27139.2,.0148593,.0148593,.0148593
2030,"NoPolicy",2000,2030,1.47e+07,1.89e+07,2.57e+07,.1625549,.2396972,.3686105,.8589786,.8730298,.8882304,.9160374,.9380935,.9637257,.2216328,.317845,.4667548,.1337372,.2019842,.3209059,218040.7,280848.9,382536.8,21101.96,25041.25,31215.48,.0148593,.0148593,.0148593
2031,"NoPolicy",2000,2031,1.68e+07,2.22e+07,3.09e+07,.1809663,.2708382,.4248759,.843832,.8577223,.8726739,.8992009,.9210258,.9456837,.2446409,.3551027,.5265377,.1500879,.2301356,.3755776,249945.5,329841.3,459047.5,23321.83,28145.33,35700.32,.0148593,.0148593,.0148593
2032,"NoPolicy",2000,2032,1.92e+07,2.58e+07,3.65e+07,.1979642,.3003541,.4791251,.8295237,.8433105,.8582557,.8835641,.9053975,.9289567,.2665479,.3889542,.5818722,.165057,.2574689,.4288306,285314.6,383428.1,542294,25615.79,31528.37,40351.73,.0148593,.0148593,.0148593
2033,"NoPolicy",2000,2033,2.17e+07,2.97e+07,4.30e+07,.2145185,.3337175,.5254531,.8163288,.8299711,.8446269,.8692417,.8906796,.9138904,.2861872,.4273994,.6275047,.1797483,.2887047,.4758992,321940.9,440720.4,638303.3,28179.21,35128.7,45333.8,.0148593,.0148593,.0148593
2034,"NoPolicy",2000,2034,2.43e+07,3.39e+07,4.95e+07,.2333857,.3682876,.5796548,.8037837,.8173174,.8316393,.855801,.8765931,.8994177,.310521,.4642087,.6754654,.196711,.3219769,.5339383,360696.8,503655.3,735078.3,30752.48,38735.22,50497.38,.0148593,.0148593,.0148593
2035,"NoPolicy",2000,2035,2.71e+07,3.84e+07,5.65e+07,.2554835,.4005612,.6249609,.7921718,.8053719,.8191805,.8434488,.8632242,.8861567,.3359035,.5019071,.7188621,.2170057,.3535072,.5800462,403417,570536.2,838937.6,33480.63,42496,55996.91,.0148593,.0148593,.0148593
2036,"NoPolicy",2000,2036,3.02e+07,4.34e+07,6.36e+07,.2739508,.436819,.6706286,.7807425,.792694,.8058782,.8294309,.848411,.869532,.3575782,.5382562,.7571078,.2336961,.3884411,.6286638,449100.3,644998,945449.9,36312.73,46564.74,61622.04,.0148593,.0148593,.0148593
2037,"NoPolicy",2000,2037,3.34e+07,4.85e+07,7.15e+07,.2930644,.4723568,.7140725,.7720232,.782176,.7938114,.8197916,.836094,.8540952,.3791576,.5735433,.7925863,.2516961,.4242996,.6768503,495890.9,720835.5,1062987,39240.1,50823.04,67361.95,.0148593,.0148593,.0148593
